"","867451","867457","494014","494017","494020","494023","494026","867481","867484","867478","867454","839431","839425","839434","867490","839428","494053","494056","494050","494011","839443","867487","926614","926620","867493","867463","957619","685193","833452","685187","823402","834109","840316","494047","821656","867505","867511","685217","995287","685247","685178","821662","833455","834112","823408","839446","840319","685244","995284","1326109","867508","995281","957616","823396","839440","821650","833449","867499","867469","867475","867472","867496","867502","867460","867466","823390","821644","839437","494038","494044","494041","494029","494035","494032"
"Cmtm8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.13373221,0,-50.81455735,0,0,-48.2732653,0,0,0,-53.88743992,-39.37224886,-38.73056694,-42.41781548,-34.06133766,-19.05756528,-36.67652043,-42.51519918,-37.11732043,-21.10621916,-17.29361796,-17.61909628,-15.2552974,-41.10118289,-27.34706156,-35.74288002,-35.15976598,-40.00128004,-34.47966734,-30.42676582,-24.82683284,0,-32.42836574,-36.66199837,-33.29049956,-42.43725652,-45.65709694,-55.07214451,-48.24811109,-33.93672836,-61.01951404,-46.90519522,-44.55970555,-52.54308533,-50.50964229,0,0,-31.34265673,-34.49251168,-23.58223597,-20.16909772,-17.96402883,-15.68120733,0,-24.57654611,-19.52324242
"Rgs11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.87750224,0,0,0,0,-48.2732653,0,0,0,-56.10601793,0,-46.36541511,-43.57488344,-33.83751227,-30.15936207,-53.57563809,-35.34767978,-21.39861337,-36.96912339,-27.42791943,-28.80931117,-21.4085086,-52.54308533,0,-45.54522185,-45.58965662,-43.59539981,-33.43452851,0,-31.72890821,0,0,-39.27205322,-32.46247338,-36.92489476,-38.33003695,-41.74912118,-43.59539981,-25.16381645,-42.14785467,-36.10499332,-44.81812804,-36.14727847,-34.67310199,-37.70625321,-29.09869696,-37.59907356,-24.50511912,-35.63309317,-25.43325551,-26.07725125,-20.86854901,0,-25.79420353,-21.59304877
"Dnah5",0,0,-29.30110993,-25.22551611,-15.97862699,-33.39857188,0,0,0,0,0,0,0,-48.37414499,0,0,-10.10956749,-10.6571406,0,-16.47576744,0,-34.71209786,0,0,-64.90893277,0,0,0,-65.18224957,-23.86156475,-39.64163958,-39.40576112,-25.89519696,-32.508062,-29.33824651,-41.30251615,-38.77922984,-46.31902693,-24.00372538,-45.72473708,-30.97605551,-35.41502872,-44.26149692,-30.51701934,-37.67556815,-42.41781548,-29.81976931,-37.4624439,-20.22637357,-40.9061531,-45.50045955,-43.8219776,-39.05700761,-47.62811964,-49.67068337,-56.41303367,-54.23464075,-30.21841873,-36.4745189,-23.2917808,-34.01129175,-35.40148828,-29.97404248,-19.66413655,-15.98690353,0,-42.53472961,-38.23506921,-34.6212436,-32.15847697,-32.30412394,0,-26.00415026,-20.6730312
"AI426330",0,-51.43503755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.3050778,-48.14775583,0,0,0,-47.62811964,-32.85388563,-40.20941061,-41.39484055,-36.86635945,-49.17001023,-51.98315746,-55.36853296,-27.19460459,-13.73581091,-27.53394936,-35.86749114,-27.96592632,-33.3865292,-34.33900843,-22.03983038,-31.34265673,-30.28761116,-35.05352674,-28.87219434,-60.59871531,-29.78140449,-53.05433825,-54.65018417,-56.37932007,-56.44742487,-57.56986103,-51.00999796,-38.64973293,-41.22895262,-36.34566178,-42.90887871,-51.57829585,-45.76994196,-38.61749372,-44.24034897,-46.11142364,-40.13968611,-40.19195679,-31.36389013,-30.73972064,-25.10935122,0,-27.51758374,-23.89840311
"9530091C08Rik",0,0,-43.55438636,0,-19.70590901,-23.55823596,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.68196741,0,0,0,0,0,0,0,0,-14.29514908,0,-56.41303367,-54.3295194,-49.64405215,-44.03036334,-43.39110135,-73.0428177,-53.36008452,-24.47920492,-14.21621729,-28.47299337,-24.45334546,-40.90146836,-39.139556,-34.04881238,-30.13972778,-29.36616079,-36.20381299,-27.67369394,0,0,-24.9538354,-55.10491977,-60.73931899,-63.96806714,-62.37447138,-43.1890818,-56.10601793,-34.60830322,-57.2141296,-61.30155461,-58.88657268,-45.81523631,-43.12873064,-58.81176706,-35.37443843,-43.96763982,-26.70868834,-41.93821662,-21.90964463,-25.33582638,-16.69237292,-33.65326369,-52.15885501,-42.28258296
"Kif26b",0,0,0,0,-28.69341658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.48938002,0,-26.38174383,-23.01983389,-41.28410067,-20.62706271,-34.32627814,-50.29068013,-47.26389322,-55.10491977,-26.00415026,-42.86914622,-35.11975838,-23.01983389,0,-27.13880958,-16.15127934,-15.09379283,-37.43215422,-27.67369394,-38.17230981,0,-56.79365728,-49.0398007,-55.40166205,-55.26938297,-44.97049935,-59.45373905,-51.00999796,-53.29865368,-52.7225948,-46.90519522,-54.10786945,-62.88279904,-62.50078126,-47.62811964,-35.82585767,-31.64236533,-38.77922984,0,-19.08892384,-19.75636451,-20.3061353,-19.79429766,-46.22652848,-44.88330341
"Mtcl1",0,0,0,0,0,0,0,0,0,0,83.35834084,0,0,0,0,0,0,0,0,-42.6326515,0,0,0,0,0,-48.98790978,-44.77478284,0,-49.75074875,-53.51428296,-38.73056694,-41.82455436,-37.11732043,-26.18047774,-54.42532301,-43.45218956,-40.50813403,-32.29285747,-33.27853468,-41.17395171,-24.45334546,-61.50515413,-37.23645896,-50.31800982,-56.89835678,-54.48938002,-40.38446006,-35.41502872,-38.87692344,0,-27.75665188,-28.12733808,-17.73710069,-21.39861337,-29.51576437,-37.93770629,-28.54304863,-28.02517782,-38.47337642,-45.01422449,-35.37443843,-30.90368557,-31.18451252,-38.12515727,0,-26.52519894,-38.28249418,-37.01345809,-20.16909772,-25.33582638,-23.70893021,-14.29956444,-22.12937719,-22.60438706
"Prickle1",0,0,0,0,0,15.64945227,0,0,0,0,89.56079387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.63770946,-45.21163567,-39.60803885,-19.72690079,-51.69294391,-60.38282712,-63.18236959,-32.29285747,-32.08048352,-36.06280698,-19.5150129,-43.28966849,-43.55438636,-36.53208247,-44.58116,-43.0285193,-34.47966734,-43.43180772,-46.13439873,0,-43.45218956,-28.99861967,-27.86508839,-44.9923513,-44.26149692,-39.81208695,-34.41558889,-39.47295708,-52.27610146,-60.14820518,-58.11115502,-50.50964229,-50.78668576,-62.58527243,-49.45843019,-53.76228468,-43.61593552,-34.1997264,-20.16909772,-14.56477538,-12.10170271,0,-19.40880772,-24.61574817
"Fam13a",0,0,0,14.68243364,-23.35640947,15.19027336,0,0,0,0,0,0,0,0,0,0,-32.46247338,0,0,-26.18047774,0,0,0,-38.99182731,0,0,0,-52.42408992,0,-48.07322514,-61.71011058,-45.95165885,-30.23815571,-29.88714614,-31.64236533,-44.26149692,-34.96087878,-43.0685479,-27.86508839,-42.12867783,-33.25463071,-54.20289227,-51.23580768,-40.070203,-51.43503755,-41.5247903,-36.88104388,-41.61776579,-27.48491078,0,-51.63528962,-54.36141644,-49.43202602,-61.95786865,-46.85772122,-45.83791713,-46.34220941,-34.35174816,-51.95398955,-38.17230981,-46.97658687,-32.61110604,-31.50241308,-45.70216811,-44.94866862,-68.20444966,-59.14989767,-49.69734318,-27.64890317,-22.6208519,-29.21806611,-11.95960524,-36.86635945,-22.95715735
