Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
Cep192,0,0,0,0,22.927978603
Cep250,10.902081862,0,0,0,0
Cep350,0,17.060053097,10.437302075,0,0
Cept1,0,8.9320377591,0,0,0
Cercam,0,0,0,0,13.097676441
Cerk,0,-0.663152736,12.497521502,11.812837195,0
Ces1c,0,-9.317363325,0,0,0
Ces1d,0,-28.30449973,-41.29566186,-35.49754335,-24.23902248
Ces1e,-10.17662551,-29.9168212,-48.56566819,-58.46861625,-50.92434769
Ces1f,0,-6.649034485,-37.38220089,-31.93402563,-34.54755812
Ces1g,0,-18.78855281,-31.86329838,-37.01086733,-32.81366808
Ces2b,-14.79824079,-16.79870215,-37.66111459,-45.57795717,-44.30190116
Ces2e,-14.23892923,0,-47.02559626,-52.58778039,-26.74062782
Ces2g,-10.61003455,0,-23.45062843,-12.25512362,-19.71699936
Cetn2,0,-1.486989563,-9.371200529,0,0
Cetn4,-28.11324702,0,-11.48756338,0,0
Cfb,-16.22881329,31.975744829,78.655609076,83.588502805,55.443986194
Cfd,-16.14392633,0,0,0,0
Cfh,10.022467883,4.438146458,-17.33834203,-6.021357039,-18.74537878
Cfhr2,-0.519588888,0,-11.92031846,0,0
Cfl1,9.1353233717,5.3537689067,0,16.043575838,23.990383125
Cfl2,0,0,0,0,-13.62412731
Cflar,0,18.805017419,42.398644272,4.0850046884,6.6969207527
Cfp,0,0,0,27.414396509,28.433319572
Cftr,0,2.0131601213,-3.005045763,-15.72393397,-14.08780938
Cggbp1,0,15.776175114,0,0,0
Cgn,0,9.212959534,14.614765802,8.7043412553,-5.167017858
Cgnl1,0,-6.637072047,-7.065112787,-11.41146426,-14.18296692
Cgref1,0,0,0,16.988995771,26.877748953
Ch25h,0,49.719347793,79.621258353,72.745060868,47.432791662
Chac1,0,-6.738370971,28.754325916,0,0
Chac2,0,0,10.187909668,17.7833544,9.6473381747
Chad,0,0,-22.10704282,-17.51628332,0
Chadl,0,-14.19339145,-25.17725765,-17.13135909,0
Chaf1a,0,-6.989152829,0,35.340748474,59.160877943
Chaf1b,0,0,0,39.281214118,68.062662565
Chchd1,-10.03774191,0,0,0,0
Chchd2,10.610034547,0,0,0,0
Chchd3,0,6.1323689887,0,0,0
Chchd10,0,-5.452978863,-22.38753674,-23.14450334,-26.59661371
Chd1,-11.67689563,10.811366053,0,0,0
Chd2,0,0,0,-11.28277314,0
Chd3,10.494721155,-6.802166165,-29.99821202,-19.41715269,0
Chd4,16.076653483,0,0,0,0
Chd5,0,0,0,0,-11.08880579
Chd6,0,-11.15702839,-7.87860608,-4.182226163,-0.075624496
Chd7,0,19.444035097,9.7524301032,0,0
Chd9,0,5.3857145827,0,0,0
Chek1,0,0,17.361462124,51.509881027,65.371400259
Chek2,0,0,0,13.465870061,28.853208976
Chfr,0,0,0,0,8.2434527395
Chi3l1,0,0,-24.89294652,-27.46241667,0
Chi3l4,-15.6529797,0,0,0,0
Chi3l7,0,0,0,0,29.03314506
Chia,-15.62128994,-46.07159776,-34.68509842,-39.24425721,0
Chic1,0,-6.181612879,0,0,0
Chid1,9.1353233717,0,0,9.5167324283,0
Chit1,0,52.306260845,79.154375952,84.590607321,58.170518552
Chka,14.629892968,0,0,-19.85116762,-17.5659141
Chl1,-12.99322274,22.045043433,43.220981478,66.494158328,51.785522907
Chml,0,-12.72059939,-13.68525282,0,-6.784258017
Chmp3,0,6.2492580287,0,0,-9.663310617
Chmp4b,0,34.255835246,46.476568573,14.016310003,0
Chmp4c,0,0,0,6.371632148,-13.03541042
Chmp5,0,-0.24573917,0,0,0
Chmp6,13.868086758,0,0,0,0
Chn2,0,-7.771485595,0,0,0
Chordc1,12.458637323,0,0,0,0
Chpf2,0,0,12.924543696,0,0
Chpt1,0,-0.004449532,0,-16.24141197,0
Chrdl1,0,-5.879804523,-36.06846824,-64.24971548,-57.76667152
Chrm3,0,-12.67104497,0,0,0
Chrna7,0,0,40.325577532,41.423783681,0
Chrnb1,0,0,0,0,-20.05458534
Chrne,-13.55167797,0,0,0,0
Chst1,0,0,-15.06232333,-11.34996785,0
Chst2,9.5181530217,0,-23.11749085,0,0
Chst3,0,-1.475073846,-31.26766222,-18.77810345,-22.54321921
Chst7,0,0,-27.83244522,0,0
Chst8,0,0,-23.27602403,-34.43086491,-31.06060727
Chst10,0,0,0,0,28.533854938
Chst11,0,0,0,0,10.373357293
Chst15,11.058179293,0,0,0,-20.11978343
Chsy3,10.610034547,11.315454944,0,32.315644424,0
Chtf18,0,-13.82161688,0,43.785474462,64.845384617
Chtop,7.6095161567,0,0,0,0
Churc1,-21.0551474,0,0,0,0
Ciao1,0,-3.483701474,0,0,0
Cib1,12.125974322,0,0,0,0
Cib2,0,0,-20.27678749,-7.955846991,-10.98863706
Cidec,0,0,0,-27.13783531,-43.4679889
Cinp,0,0,0,8.7100837638,9.8444875087
Cirbp,0,0,0,-18.271969,0
Cirh1a,0,-5.932955197,0,0,0
Cisd1,0,-8.306300083,-9.106530403,0,0
Cisd2,0,0,11.200401424,9.5607172721,10.449578109
Cish,0,40.694034337,12.901258599,0,0
Cit,0,-13.86593886,0,7.4313074777,39.470791053
Cited2,13.843206308,5.4854089036,0,-20.04330062,-14.0099872
Cited4,0,14.722463044,25.064192121,0,0
Ckap2,0,0,0,54.988950846,87.52014818
Ckap2l,0,0,0,41.677958783,82.393888316
Ckap4,0,0,7.6137998177,41.390094547,28.064725487
Ckap5,-9.998720163,0,0,0,15.590904398
Cklf,0,0,0,11.176914619,22.912094432
Ckm,-29.76172995,0,0,-22.22284629,-18.73586443
Ckmt2,-32.82050441,0,0,0,0
Cks1b,0,0,0,45.934619843,68.991662763
Cks2,0,0,0,46.213206516,72.522235205
Clasp1,20.954893333,-10.29132588,0,0,0
Clasp2,0,-8.977547321,0,-6.815514805,0
Clasrp,0,0,0,-7.534628336,0
Clca1,-10.61003455,37.787185137,75.176090041,52.840760447,43.031790429
Clca2,0,38.435884697,72.293257954,45.302354614,36.617209776
Clca3,15.652979702,0,0,0,0
Clcn1,-4.415951817,0,0,0,0
Clcn2,0,-7.559546413,0,0,-7.815161586
Clcn3,0,7.4345439657,-7.697410823,0,0
Clcn5,0,0,8.0499700816,26.897965315,28.050821781
Clcn7,0,0,17.112911877,0,0
Cldn1,0,17.693335111,0,-12.94319323,-24.31265777
Cldn2,0,15.392134695,52.230429085,39.500241383,0
Cldn3,0,-9.136114058,0,-16.49559554,-14.25213239
Cldn4,11.359041115,0,0,0,0
Cldn8,0,-22.33540052,-22.30772904,-30.71579008,-27.80083147
Cldn10,0,0,0,-11.87642622,-17.1845351
Cldn12,0,2.3246350943,0,0,0
Cldn18,7.6095161567,0,-19.80785477,0,0
Cldn23,-26.16777526,0,0,-23.88019549,-24.74501249
Clec1a,10.083531978,0,-11.5707486,0,-18.35789739
Clec2d,0,10.380627414,0,0,0
Clec2i,14.082999567,0,0,0,14.712487824
Clec4a1,0,0,25.832665292,30.902139905,0
Clec4a2,-4.516596943,1.6734879327,29.907320969,54.760754423,41.397539223
Clec4a3,0,15.394839133,56.306344715,52.392462318,28.928287915
Clec4b1,-14.47915581,0,8.2389261526,29.751956398,26.000342948
Clec4d,0.4325210583,25.602895414,54.379979632,51.400231897,23.905646359
Clec4e,16.00993897,35.625673587,77.278842887,51.262856546,39.133067279
Clec4g,0,0,-27.71669624,-37.5877248,-27.57936148
Clec4n,0,0,0,16.288259116,0
Clec5a,0,17.838714871,42.879380955,71.014705661,49.74792347
Clec7a,0,0,0,18.561003407,35.159389488
Clec9a,0,0,0,-25.65444111,0
Clec10a,-15.26615006,0,0,0,0
Clec11a,0,-12.16488909,-21.35610252,0,17.90498365
Clec12b,0,0,0,-23.037653,-47.64314282
Clec14a,13.955877098,-25.73735192,-21.61481427,-38.44537602,-47.34473333
Clhc1,0,0,0,63.162501256,91.435202311
Clic1,0,0,0,0,10.124062697
Clic3,-13.76909774,0,0,0,0
Clic4,0,28.514642938,41.279200354,0,0
Clic5,0,-14.15448661,-13.38811903,-23.2599643,-16.6768756
Clic6,-9.56524068,-4.436878691,0,0,-14.45623653
Clint1,0,7.5877847416,9.6470623268,0,0
Clip1,0,0,0,0,-12.53457773
Clip3,0,0,-7.653319328,0,0
Clip4,0,12.001129381,19.841305859,19.424206372,0
Clk1,0,-1.665449779,-8.479107479,-21.07860266,-12.93626545
Clk2,15.206257678,0,0,0,0
Clk4,0,-0.423363458,0,-13.2978292,0
Clmn,-18.49031399,-5.910541582,-21.39233454,-27.53921057,-25.29656045
Clmp,12.007938957,0,0,34.222003763,45.760308197
Cln6,12.23169771,-10.37336354,0,0,0
Cln8,0,0,17.820942228,20.466371831,8.2300941467
Clnk,-12.23169771,0,11.169200853,0,0
Clock,-9.135323372,-4.028252328,0,1.3339669353,0
Clpb,0,0,-12.6216693,-11.79410937,-12.74716472
Clpx,0,0,0,0,-9.387035197
Clspn,0,0,0,47.935266576,77.430852477
Clstn1,0,-13.05164805,-27.32607302,-24.71565547,-25.55933465
Clstn2,-10.61003455,-2.789634379,-16.9495834,-13.14718692,-17.6483898
Cltb,0,0,16.366645884,12.321121178,0
Cltc,13.955877098,0,0,0,0
Clu,0,0,0,13.316354497,0
Clybl,0,0,-12.44258499,0,0
Cmbl,0,0,-12.31312615,0,-9.858633725
Cmc1,-10.61003455,0,0,0,9.6253972785
Cmklr1,0,0,0,0,-14.356569
Cml1,0,-11.55518692,0,0,0
Cml3,0,0,-17.8730097,0,-12.14696043
Cml5,0,-13.74664009,0,0,0
Cmpk1,0,0,10.743334004,10.337173177,8.8529450447
Cmpk2,0,68.511990277,84.787403359,60.435528475,32.99858697
Cmtm2a,0,0,0,9.6172525616,23.03206929
Cmtm3,-10.08353198,0,-10.97755615,8.9141423947,0
Cmtm4,0,0,0,15.002858946,14.183572135
Cmtm7,0,0,0,23.185031297,36.503327423
Cmtm8,0,-12.56701514,-31.32840379,-25.59180909,-20.18324229
Cmya5,0,1.265687182,0,-17.29180942,-25.46454547
Cndp2,0,0,22.091247962,0,9.219824454
Cnfn,0,0,0,-14.78867404,-20.7830917
Cngb1,0,13.894189496,-24.09536062,0,0
Cngb3,0,17.390550975,66.035116082,65.51751423,0
Cnih4,0,-7.694923357,5.4732163613,5.9949955553,-3.190018491
Cnn1,0,0,0,0,-30.35123814
Cnn2,9.5181530217,0,0,0,0
Cnnm3,0,0,-7.830642571,0,0
Cnot1,0,6.5895407113,0,0,0
Cnot3,0,-2.462371714,0,0,0
Cnot4,18.457945897,14.624443387,0,-6.017288008,0
Cnot6,0,0.7990382994,0,0,0
Cnot7,11.186282932,0,0,0,0
Cnot10,0,0,0,-11.49680098,0
Cnp,13.092226883,0,13.436625901,0,0
Cnpy1,0,0,-19.27029179,-29.39645334,-22.96519988
Cnpy2,0,0,-14.13568305,0,0
Cnr2,15.08732544,7.395253632,-7.029278294,0,-19.24545416
Cnrip1,0,-10.75729419,-11.38884955,-7.935906416,-18.71027307
Cnst,-12.47878606,-8.616479185,-10.45485916,-12.69069513,-13.26271809
Cntln,-10.17662551,-0.286801504,-13.19813179,0,0
Cntn1,0,-4.960947833,-27.27907582,-18.15042939,-26.43471443
Cntnap1,15.976788922,0,0,0,0
Cntrob,0,0,0,0,13.926344577
Coa5,0,0,23.567698331,25.535757826,25.980256137
Cobl,0,0,0,-8.785809499,-14.90855432
Cobll1,0,-8.322235742,-9.720697413,-12.13189179,0
Coch,0,0,43.437030708,0,0
Cog6,0,-5.099511112,0,0,0
Cog8,-11.41787125,0,0,0,0
Col1a1,-13.84320631,-26.94705815,0,32.894077905,57.287264123
Col1a2,0,0,0,18.919672364,24.671100363
Col2a1,0,13.680733722,11.690179353,36.593538457,34.482080552
Col3a1,0,-4.314209572,12.93372911,46.555073321,43.529127557
Col4a1,0,0,23.377023146,21.060660259,9.472927052
Col4a2,27.912885545,0,17.30970861,12.262477462,0
Col4a3,0,26.715919576,-10.40703588,-30.85012203,0
Col4a3bp,0,-9.557289403,-4.889291455,-12.33358928,-9.163627095
Col4a4,-10.08353198,0,-15.29387051,-17.07003114,0
Col4a5,0,0,-14.49117173,0,0
Col4a6,0,-6.32783603,-19.04113007,-16.66198038,-13.8558557
Col5a1,0,0,0,21.76958863,36.672230423
Col5a2,0,0,0,45.499467279,55.600898637
Col6a1,0,-11.30486331,0,0,0
Col6a2,10.610034547,-11.74468287,0,8.7439243793,0
Col6a3,0,-38.74714722,-20.63872619,17.962302593,32.214989742
Col7a1,14.452036582,0,0,0,0
Col8a1,0,0,-14.10351402,0,0
Col8a2,0,0,0,-11.39482814,-18.32987068
Col9a3,0,13.17064116,0,0,0
Col11a2,0,17.830584182,0,0,0
Col12a1,0,-12.53159811,-17.30539357,0,0
Col13a1,15.527275212,0,-7.973000038,0,0
Col14a1,0,-13.77916941,-48.85149529,0,0
Col16a1,-8.09619576,-14.05697328,-15.61526858,0,0
Col17a1,0,-3.83262728,-22.92930245,0,-23.69378496
Col18a1,-11.81078183,0,11.280325462,26.046206092,15.39689793
Col20a1,0,0,0,-28.45200119,-16.26065081
Col22a1,0,0,0,32.040538515,18.574118697
Col23a1,0,-4.678250535,11.299274369,-12.22406591,-18.65894624
Col24a1,0,0,0,0,31.519112817
Col27a1,0,0,-17.50439394,0,0
Colec10,0,0,-18.81109483,-18.23523295,0
Colec12,-14.23892923,-2.176900736,-8.332806329,0,0
Colq,0,0,0,-13.70144584,-22.41617659
Commd1,0,0,0,11.030900965,11.660576799
Commd8,0,5.3732665753,0,0,0
Copa,0,-9.364374536,0,0,0
Copg,0,0,0,9.6527657232,8.8543560801
Copg2as2,0,-8.479077593,0,0,0
Cops2,-14.89824499,0,0,0,0
Cops6,0,0,0,8.2143369893,0
Cops7a,10.03774191,0,0,0,0
Copz2,0,-14.1803636,-15.98261037,-10.29145278,0
Coq5,0,0,0,0,-8.453085332
Coq7,0,0,0,9.6732124847,7.686215444
Coq10b,-13.89305681,12.74950713,12.397662518,0,-11.66042493
Coro1a,25.928820637,8.2551489653,-1.776084059,-3.721109357,26.562031164
Coro1c,0,0,0,10.370683434,0
Coro2a,0,16.725161447,29.051368778,20.631823957,19.558753689
Coro2b,13.317991008,0,0,0,0
Coro7,0,0,0,16.416623579,23.553717745
Cotl1,11.417871252,0,0,15.572521298,51.299251505
Cox4i1,14.671619805,0,0,0,0
Cox5a,0,0,0,0,10.707526433
Cox5b,9.5181530217,0,0,0,0
Cox6a2,0,0,0,0,-15.45893702
Cox6b2,14.331246703,-12.73920378,-21.95684116,-11.54826394,0
Cox6c,0,0,-8.961518258,0,0
Cox7a1,0,0,0,-24.04914524,-20.60103617
Cox7a2,0,-0.238386379,0,0,0
Cox7a2l,9.5181530217,0,-20.70870922,0,0
Cox7b,-11.81078183,0,0,0,0
Cox8b,0,0,-23.68662691,-38.10652538,-44.07001117
Cox10,0,0,0,0,13.822018935
Cox11,-9.518153022,0,0,0,0
Cox15,0,0,12.916064532,0,0
Cox16,-24.82723845,-12.34188248,-19.77766192,-4.768064974,6.4555117107
Cox18,0,16.775526114,31.689156961,12.437910339,0
Cp,0,0,10.332001977,23.058556249,0
Cpa2,0,0,0,0,15.984609554
Cpb1,0,-9.009216404,-29.21966141,0,0
Cpd,0,-7.095293442,-17.12242313,0,0
Cpe,0,0,-19.10398828,-17.11784707,-20.00514334
Cpeb1,0,0,0,0,-11.21183467
Cpeb2,-12.86325842,-1.985025338,0,0,0
Cpeb3,-10.61003455,6.1396358119,0,0,0
Cpeb4,-15.07258959,-0.607590133,17.884225698,0,0
Cplx2,-14.23892923,0,0,0,0
Cplx3,0,0,0,-17.48080769,0
Cpm,-4.207970767,-1.623005542,-49.93144883,-50.06371435,-27.63576646
Cpn1,0,0,0,-18.3787148,-28.68829135
Cpne1,0,-1.157328369,0,0,0
Cpne2,0,0,11.118539826,14.876683891,19.471742123
Cpne3,7.6095161567,10.301820313,13.822250507,0,0
Cpne4,9.5181530217,0,0,0,0
Cpne5,0,-11.83248544,-22.227314,-32.17338482,-40.22232141
Cpne8,0,0,0,0,-9.643117622
Cpsf2,-7.098904782,9.128040298,17.373133448,11.069673721,12.740286665
Cpsf6,0,-5.649961255,-13.03227612,-12.9481494,-8.978370524
Cpsf7,0,7.89435481,0,0,0
Cpt1c,0,-10.34127108,0,0,0
Cpxm1,13.551677968,0,0,39.338578807,43.12431612
Cpz,0,0,0,0,23.190035355
Cr2,0,0,-30.66823811,-21.3824885,-19.01709367
Cramp1l,0,-8.08990892,0,0,0
Crb2,0,-13.81051622,7.9503576088,0,0
Crb3,-9.135323372,0,0,0,0
Crbn,0,0,5.8785446718,-10.51869004,-11.48957666
Crct1,0,0,24.982007188,0,0
Creb1,0,-8.020153598,-7.051115618,5.0274977006,13.747792451
Creb3,0,0,10.269532967,0,0
Creb3l1,0,0,11.146894082,0,0
Creb3l2,0,-9.560735375,-11.71957216,-2.455476291,-8.910619221
Creb5,0,15.241076123,30.127565662,16.380433712,0
Crebl2,0,-7.913784376,-24.98763542,-28.7098504,-26.20451922
Creg1,0,-1.933233943,0,0,-10.16172412
Creg2,0,0,22.30703292,41.169582977,43.037092981
Creld1,0,0,-6.256621178,0,0
Creld2,0,0,18.492547056,0,0
Crem,-24.69303411,25.046101977,31.147213594,8.2172228917,0
Crim1,20.759104075,0,0,-16.5857796,-26.40340605
Crip1,-11.35904112,0,-17.84085236,0,0
Crip2,0,-13.81307553,-13.60054288,0,-12.75417546
Crip3,0,0,-8.416873013,0,-12.80581166
Crispld2,0,0,0,0,-30.46411884
Crk,12.993222735,0,12.452064911,0,-2.448745698
Crkl,0,-10.78093238,0,0,0
Crlf1,0,-8.243288111,-14.75829386,-10.15446562,0
Crlf2,0,0,19.490729228,16.810471462,11.906840323
Crlf3,0,14.324946908,0,0,0
Crls1,0,0,0,9.4957038398,0
Crmp1,0,0,0,0,57.181684699
Crnkl1,7.6095161567,0,0,0,0
Crocc,0,-11.39448848,-23.21771451,-11.27172994,0
Crot,7.6095161567,0,0,0,0
Crtam,0,0,0,19.825638678,60.540400646
Crtap,0,0,-11.70217542,0,0
Cry1,-10.49472116,7.0364115027,0,0,0
Cry2,0,0,0,-20.08241191,-27.66643181
Cryaa,0,0,0,-9.915663829,0
Cryba4,0,0,16.679602691,0,0
Cryl1,-13.44563125,-9.167332247,-20.57475727,0,0
Crym,0,-10.55061459,0,0,-11.6475087
Cryz,0,-16.63283859,-20.6770731,0,0
Cryzl1,0,-0.844065518,0,0,0
Cs,0,0,0,0,12.095111376
Csad,0,-22.14072486,-26.55480901,-20.48127487,-9.827870448
Csde1,0,-3.185409319,-12.65875567,-12.10363545,-7.881727062
Csf1,-1.740896142,55.555420073,55.11329223,16.030902752,0
Csf1r,-25.67073834,0,0,13.569308494,0
Csf2,16.418420153,59.478787798,0,0,0
Csf2ra,0,0,11.442710507,14.541446698,0
Csf2rb,0,22.7932575,24.484027278,22.678886722,15.266244905
Csf2rb2,0,0,29.495839967,25.368680763,21.743053925
Csf3,0,19.406322551,29.848147812,0,0
Csf3r,15.748825138,21.238969373,24.801152046,29.175240453,0
Csgalnact2,0,3.8442540333,0,-8.641049508,-9.857580563
Csk,-15.161439,0,0,0,11.292898365
Csl,0,0,0,8.4866276874,14.171891048
Csnk1a1,14.713585348,2.1005607587,0,0,0
Csnk1d,-8.95518111,0,10.487827581,3.3317487416,0
Csnk1e,0,0,0,0,-17.41331155
Csnk1g2,0,3.8777679327,-9.734466151,0,0
Csnk1g3,0,0,0,-6.47586433,0
Csnk2a2,0,-2.22597583,0,0,0
Cspg4,0,-6.849927286,0,0,0
Csprs,10.610034547,34.825218774,73.452617755,38.712846502,24.611551705
Csrnp1,13.968509392,49.208251713,63.018523786,17.707720938,0
Csrnp2,-9.998720163,0,0,0,0
Cst3,0,0,-8.735015396,0,-6.940325442
Cst7,0,13.851946351,36.600404324,24.440430669,63.864403815
Cst8,0,-38.16861528,-44.95621762,-57.92557052,-62.28915009
Cst9,0,0,0,-36.27060393,0
Cstb,-24.33980394,0,36.090079166,33.102108676,22.142186516
Cstf1,0,11.170749056,0,4.4663068442,9.9424630631
Cstf2,0,18.797830633,14.828515419,13.822484405,28.319393333
Ctbs,0,0,0,12.23563657,0
Ctc1,0,-8.885505032,0,0,0
Ctdsp2,0,-13.91012413,1.3421512515,6.4462266548,-9.237495698
Ctdspl,-13.44563125,-9.55060405,-21.19637707,-20.27445019,-19.15496983
Ctf1,0,-8.943857113,-12.64622139,0,0
Ctgf,0,9.929984794,23.436102843,0,0
Cthrc1,0,-10.81537839,-29.77813022,-14.13107506,0
Ctla4,0,0,0,0,51.200956681
Ctnna1,1.4652356517,0,0,-11.9459337,-13.72077961
Ctnnal1,0,-27.89466363,-25.36635104,-16.63208147,-12.50596448
Ctnnb1,0,6.6613182773,-4.364006031,-12.59308876,-9.210082075
Ctnnbl1,-22.54532405,0,0,0,0
Ctnnd1,0,2.2894827417,0,0,-12.54191612
Ctnnd2,0,0,-12.71039719,-10.54869758,0
Ctns,-8.09619576,-4.971905381,0,0,0
Ctps,0,42.738015175,44.733813032,40.514313163,0
Ctrl,0,11.246462679,15.652516001,0,0
Ctsa,13.103343448,0,0,0,8.3049417735
Ctsb,0,0,16.071546805,22.780187728,10.149159713
Ctsc,0,0,15.083920582,17.650154948,23.152271412
Ctsd,1.3481000717,0,0,13.201327098,9.422238422
Ctse,15.748825138,0,0,0,0
Ctsf,0,0,-32.02422766,-32.11494017,-17.20908007
Ctsh,0,-10.95212331,0,0,11.433293781
Ctsk,-11.8835413,0,0,42.087162442,29.463617261
Ctsm,0,-1.953454541,0,0,0
Ctss,0,3.9426436827,35.811129127,39.624467433,30.31100931
Ctsw,10.494721155,0,12.788999498,0,77.515689812
Ctsz,0,0,24.694998246,21.104020692,17.701695261
Cttn,0,10.474884521,0,15.295832236,0
Cttnbp2,0,0.5870396047,-29.96319839,-29.79571296,0
Cttnbp2nl,0,0,11.861877923,13.309438066,0
Ctu2,13.539788022,0,0,0,0
Cuedc1,0,0,0,0,-9.721090429
Cul1,-9.518153022,0,0,0,0
Cul3,0,0,0,0,-5.608026617
Cul4b,0,6.9131356707,0,0,0
Cul5,0,-5.862078857,-16.25482611,-5.301293072,-5.382911059
Cul7,0,-14.59916939,-9.424183455,0,0
Cuta,-11.81078183,0,0,0,0
Cutc,0,11.173157836,19.042906973,0,0
Cux1,13.955877098,8.4814975407,0,0,0
Cux2,0,-6.151296302,-12.54637128,-25.31493341,-23.66686454
Cwc15,0,0,0,-11.53609593,0
Cwc22,0,10.291507131,0,12.770979962,12.844918258
Cwf19l2,0,0,0,-10.54104429,0
Cx3cl1,0,0,0,-26.92717097,-22.67935799
Cx3cr1,0,0,-8.493042536,0,22.682147434
Cxadr,0,27.613179542,15.701433703,0,-3.7613949
Cxcl1,0.035691005,64.242099277,76.858740317,65.376369775,33.95801896
Cxcl2,16.488589895,58.108693868,62.450699298,34.014383309,0
Cxcl3,16.630744258,50.010729331,71.548520281,55.077844116,27.664134953
Cxcl5,33.06551225,42.461655759,44.422602942,49.88196994,0
Cxcl9,0,55.915520844,88.560650173,75.316682348,73.175586331
Cxcl10,0,73.008398089,89.298910878,88.892006978,72.941858623
Cxcl11,0,52.529085338,88.594382665,74.538952301,67.027508171
Cxcl12,0,-9.798134473,-28.05859061,41.63089913,32.511785245
Cxcl13,0,0,71.446906607,70.769378788,52.762117557
Cxcl15,0,-36.88279494,-26.0161206,-13.23924714,0
Cxcl16,14.855221017,33.608865096,45.074531523,44.978608008,32.536081977
Cxcl17,0,0,0,20.904314015,0
Cxcr2,14.671619805,33.954222505,24.894255489,30.602495222,0
Cxcr3,0,0,0,22.638063714,92.804719929
Cxcr5,0,0,0,-22.76472962,0
Cxcr6,0,0,0,0,75.992688931
Cxcr7,0,0,11.117412033,28.253556743,0
Cxx1a,10.610034547,-0.398055813,0,0,0
Cxx1c,0,0,-28.49056382,-14.08035048,-12.82723485
Cxxc4,0,0,-12.41176781,-13.6919961,-14.60980929
Cxxc5,0,-7.355996431,-10.02273039,0,0
Cyb5,0,-10.4580492,-17.20940349,-12.64821743,-14.78677539
Cyb5b,-10.61003455,-5.729855707,-5.820829748,-2.363906849,7.9380616327
Cyb5d1,0,-7.155747194,0,0,0
Cyb5r1,0,-2.733048539,0,0,0
Cyb5r3,-10.87136136,0,-12.26647339,0,0
Cyb5r4,0,0,0,0,9.4485868977
Cyb5rl,0,-4.214173403,0,0,0
Cyb561d1,8.5725062583,0,0,0,0
Cyb561d2,-12.47878606,0,0,0,11.670302864
Cyba,0,0,15.370391126,11.429440227,19.781590547
Cybb,-16.34884512,40.385613537,31.846552624,30.500504588,24.947596889
Cybrd1,0,-13.22990555,-37.77812679,-24.55444015,-25.40251698
Cycs,-29.08487037,9.1816680313,19.159795005,17.222156146,0
Cyfip1,-12.85254532,-9.045891465,0,0,0
Cyfip2,0,16.602285281,20.025100218,8.6232204075,58.813129909
Cyhr1,0.9799743217,-16.4726659,-24.76332576,-16.999659,-10.14531417
Cyld,0,-1.529422979,-9.316106819,-8.911174547,11.818501476
Cyp1a1,0,0,-24.45876813,-36.90885276,-40.08907785
Cyp1b1,0,0,17.294947792,19.83212808,0
Cyp2a4,0,4.280839154,0,-33.96898482,-45.27669339
Cyp2a5,0,-8.098135921,0,-40.71890943,-46.89726652
Cyp2b9,0,0,0,0,-34.75410871
Cyp2b10,0,-1.939690719,0,0,-32.94649592
Cyp2b13,-14.37128502,-10.06676129,0,0,-35.02837676
Cyp2c44,-7.609516157,-19.83750303,-30.17948798,-20.34156368,-26.66852372
Cyp2d9,0,-10.00158182,-11.34405541,-15.43630087,-31.7871336
Cyp2d10,0,0,0,0,-21.6989191
Cyp2d12,0,0,0,0,-25.51231216
Cyp2d22,-7.748399758,-11.27171855,-17.90626777,-39.02559079,-42.44131915
Cyp2e1,-15.91120276,0,0,0,0
Cyp2f2,-15.40328891,-33.81479511,-48.62427928,-37.46138749,-36.93202157
Cyp2j6,0,4.507782012,0,0,0
Cyp2j9,0,-11.08006885,-13.07756173,0,-18.70012645
Cyp2s1,0,0,0,0,-14.94411324
Cyp3a13,0,0,0,-27.85220373,-47.9940446
Cyp4a10,0,0,0,17.329586592,0
Cyp4b1,0,0,0,-22.59256532,-43.89857648
Cyp4f13,-10.87136136,0,0,0,0
Cyp4f15,0,-10.81561579,-22.8226573,-46.96666453,-31.95591927
Cyp4f18,0,16.718264114,21.698062324,31.979454305,0
Cyp4v3,0,-9.806156488,-13.95881513,-15.85440478,0
Cyp7b1,0,0,38.266703534,64.355991764,40.532463025
Cyp26b1,-16.54161208,0,0,0,0
Cyp27a1,-7.609516157,0,-12.58276746,-16.47028179,-18.86609244
Cyp39a1,0,-16.87464902,-30.2435358,-21.58837837,-17.14369091
Cyp46a1,15.862138978,0,0,0,0
Cyp51,-8.09619576,0,0,0,0
Cyr61,0,23.590250909,22.672745362,0,0
Cys1,0,-20.8182794,-20.38695886,-20.76447116,-38.83593847
Cysltr1,0,0.7002410299,10.178713409,23.743923048,7.0249977714
Cysltr2,0,0,35.784246766,0,26.736784294
CYTB,0,0,-18.01852843,-15.69887927,0
Cyth2,9.9987201633,0,0,0,0
Cyth3,0,-3.755201209,-12.16417724,-16.99409079,-24.10224185
Cyth4,0,7.9544218453,24.034065184,28.007549331,36.907993791
Cytip,40.652300687,10.294151033,0,-16.12901915,0
Cytl1,0,0,-20.54589259,-33.9716827,-49.33085501
D0H4S114,0,-24.98212215,-27.71575628,0,24.437862477
D030029J20Rik,0,0,-24.89006595,-20.66453122,-17.25603715
D030063E12,0,0.2671405627,0,-8.504203403,0
D1Bwg0212e,0,0,7.8991053198,0,7.5427488444
D1Ertd622e,-8.572506258,7.548321202,0,0,0
D1Pas1,13.955877098,0,0,0,0
