Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
1700049L16Rik,0,0,0,15.266683425,0
1700054N08Rik,0,0,0,0,31.560022115
1700066C05Rik,0,0,19.764810799,0,0
1700084J12Rik,0,0,10.46190838,20.304686472,0
1700088E04Rik,0,0,0,0,-14.69254907
1700094D03Rik,0,0,0,-11.09573038,0
1700096K18Rik,0,-9.533356433,0,0,0
1700122O11Rik,0,0,0,0,38.167098902
1700123I01Rik,0,17.879595661,44.094533152,0,0
1700123K08Rik,0,0,0,-10.3854907,-20.04569707
1700125D06Rik,0,0.6718360698,0,0,0
1810006K21Rik,-19.82654247,0,0,0,0
1810008A18Rik,0,0,13.260185202,18.423551748,21.097390829
1810010H24Rik,0,-18.21181868,-43.09552467,-40.5222894,-46.77783641
1810011H11Rik,0,-14.05403663,0,0,0
1810011O10Rik,12.662908315,0,-20.91390729,-25.31134658,-18.61120498
1810012P15Rik,7.6095161567,0,-25.08683571,-14.74779808,10.510283673
1810013L24Rik,-11.41787125,0,0,-10.78390315,-11.26272849
1810014B01Rik,0,0,-9.930674147,0,0
1810015C11Rik,0,0,0,-16.64343027,-14.85501142
1810020D17Rik,-24.99488664,-13.06295396,-20.41690319,-17.93446463,-13.175457
1810026B05Rik,0,0,0,-17.0092688,0
1810030N24Rik,8.5725062583,0,0,0,0
1810030O07Rik,0,-2.160571254,0,0,0
1810032O08Rik,0,0,9.1196462176,0,0
1810033B17Rik,11.819827998,0,18.438638071,17.013099393,10.995925377
1810055G02Rik,0,0,12.376588015,17.687780621,0
1810058I24Rik,0,0,-10.0642338,0,0
1810059H22Rik,0,0,-10.63133031,-22.23046398,-27.86538013
1810062O18Rik,0,0,0,-10.35648323,0
1810063B05Rik,0,-8.453478749,0,0,0
1810065E05Rik,0,0,0,22.157442251,0
2010001K21Rik,-20.76596294,0,-8.551507426,-23.71146752,-36.42983205
2010003O02Rik,-10.03774191,-8.306336364,-14.93664439,-12.73062115,0
2010007H06Rik,0,-19.13959651,-18.8052865,-24.32223896,-21.87106266
2010011I20Rik,0,-9.459068636,-9.600923984,0,0
2010012O05Rik,0,0,0,0,8.4914312209
2010106G01Rik,0,26.907655321,43.098020271,0,0
2010107G23Rik,8.95518111,0,0,0,-8.313558404
2010109K11Rik,-7.609516157,0,15.023095637,6.7020319618,0
2010110K18Rik,0,0,0,0,40.345386938
2010110P09Rik,0,-13.84203887,-24.62359462,-15.44836904,0
2010111I01Rik,0,3.4548434477,0,0,0
2010204K13Rik,0,0,-7.981660644,21.198891565,7.9378923247
2010300C02Rik,0,-5.186706023,-8.342604515,0,-9.454318427
